motor_id,motor_name,status,identified,synced_before_capture,sequence_error_count,sequence_error_ratio,target_frame_count,target_frame_ratio,planned_duration_s,actual_capture_duration_s,round_total_duration_s,validation_mode,validation_reason,recommended_for_runtime,conclusion_level,conclusion_text,train_platforms,valid_platforms,saturation_ratio,tracking_error_ratio,high_speed_platform_count,high_speed_valid_rmse,coulomb,viscous,offset,velocity_scale,validation_rmse,validation_r2,sample_count,valid_sample_ratio,coulomb_std,viscous_std,offset_std,round_count
1,motor_01,insufficient_target_frames,False,True,0,0.0,375,0.028979907264296754,64.7,64.7,64.8130387099227,train_only,insufficient_target_frames,False,reject,辨识失败: insufficient_target_frames,,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,0,0.0,nan,nan,nan,1
2,motor_02,sync_not_acquired,False,False,0,0.0,0,0.0,64.7,0.0,2.0158234210684896,train_only,sync_not_acquired,False,reject,辨识失败: sync_not_acquired,,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,0,0.0,nan,nan,nan,1
3,motor_03,sync_not_acquired,False,False,0,0.0,0,0.0,64.7,0.0,2.0184325999580324,train_only,sync_not_acquired,False,reject,辨识失败: sync_not_acquired,,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,0,0.0,nan,nan,nan,1
4,motor_04,sync_not_acquired,False,False,0,0.0,0,0.0,64.7,0.0,2.01854679803364,train_only,sync_not_acquired,False,reject,辨识失败: sync_not_acquired,,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,0,0.0,nan,nan,nan,1
5,motor_05,sync_not_acquired,False,False,0,0.0,0,0.0,64.7,0.0,2.0186195849673823,train_only,sync_not_acquired,False,reject,辨识失败: sync_not_acquired,,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,0,0.0,nan,nan,nan,1
6,motor_06,sync_not_acquired,False,False,0,0.0,0,0.0,64.7,0.0,2.0207228580256924,train_only,sync_not_acquired,False,reject,辨识失败: sync_not_acquired,,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,0,0.0,nan,nan,nan,1
7,motor_07,sync_not_acquired,False,False,0,0.0,0,0.0,64.7,0.0,2.017754629952833,train_only,sync_not_acquired,False,reject,辨识失败: sync_not_acquired,,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,0,0.0,nan,nan,nan,1
