motor_id,motor_name,round_count,accepted_round_count,tau_static,tau_static_std,tau_bias,tau_bias_std,tau_c,tau_c_std,viscous,viscous_std,inertia,inertia_std,friction_validation_rmse,inertia_validation_rmse,repeat_consistency_score,recommended_for_compensation,publish_status,publish_detail,selected_rounds
1,motor_01,3,3,0.79,0.04027681991198195,0.010000000000000009,0.04027681991198192,0.4924716705686063,0.010490008631804338,0.0477012067676909,0.004687013914156369,0.021405369434534898,0.0011253327994803482,0.03694493137777347,0.1421968917712048,0.09825776393839555,True,published,published 3/3 accepted rounds,"[1, 2, 3]"
2,motor_02,3,2,0.66,0.08999999999999997,0.09000000000000001,0.04000000000000002,0.44056114406143443,0.0036911639866775425,0.006818948583828755,0.003168207557202109,0.017760196997374394,8.000786201889376e-07,0.019119689270758557,0.17871462563457802,0.4646181912436711,True,published,published 2/3 accepted rounds,"[2, 3]"
3,motor_03,3,0,0.6,0.007071067811865481,0.0,0.007071067811865455,0.5446401909472313,0.04375222004923853,0.0917196727362623,0.01983133071086881,0.060860458343797386,0.0010155349138008076,nan,0.15240131804210252,0.21621676265563355,False,retained_previous_model,"kept previous model; accepted_round_count=0, required=2",[]
4,motor_04,3,0,0.6,0.007071067811865481,0.0,0.007071067811865455,0.6190129932061541,0.03092840286690211,0.07928517261633818,0.005194904963498112,0.05979939667418853,0.00767041345092228,nan,0.20975849331862154,0.12826907757470893,False,retained_previous_model,"kept previous model; accepted_round_count=0, required=2",[]
5,motor_05,3,3,0.14500000000000002,0.0262466929133727,0.02500000000000001,0.01632993161855452,0.10087120305181271,0.0023855348001732375,0.006975643363355215,0.0005980950756437659,0.0021195933153095375,0.0004496455054408572,0.005620962980740514,0.02877652602916471,0.2121376313999144,True,published,published 3/3 accepted rounds,"[1, 2, 3]"
6,motor_06,3,3,0.17,0.022484562605386737,0.015,0.0062360956446232355,0.12092540923510382,0.0005810691159527151,0.008894982775699051,0.0002232090118371585,0.0011975105057455348,9.821459490494927e-05,0.006963068074907194,0.027853766175185996,0.13226213297286316,True,published,published 3/3 accepted rounds,"[1, 2, 3]"
7,motor_07,3,1,0.235,0.0,0.015,0.0,0.1263911319395601,0.0,0.006206349326111739,0.0,0.0016604477846160672,0.0,0.007727116229025515,0.0429807427905733,0.0,False,retained_previous_model,"kept previous model; accepted_round_count=1, required=2",[3]
