motor_id,motor_name,round_count,accepted_round_count,tau_static,tau_static_std,tau_bias,tau_bias_std,tau_c,tau_c_std,viscous,viscous_std,inertia,inertia_std,friction_validation_rmse,inertia_validation_rmse,repeat_consistency_score,recommended_for_compensation,publish_status,publish_detail,selected_rounds,model_kind,source_phases
1,motor_01,3,0,0.9450000000000001,0.11187790964558941,0.354809397053978,0.05577152002079727,0.18389590865264818,0.041811850339591686,0.026801000584987356,0.004462478260762692,0.02076741810190188,0.0009302492635727999,0.5301381271555466,0.6738161609334904,0.22736694168964905,False,retained_previous_model,"kept previous model; accepted_round_count=0, required=2",[],joint_static_dynamic_v1,"['breakaway', 'speed-hold', 'inertia', 'dynamic-mit']"
2,motor_02,3,0,0.7550000000000001,0.09312476696465993,0.37410580110534386,0.04865526291376559,0.05571791713069066,0.07212871419852239,0.008715927963320533,0.005702637118756361,0.014106864485831047,0.0031700031668229563,0.5006686525261091,0.6387718356036945,1.2945335704014014,False,retained_previous_model,"kept previous model; accepted_round_count=0, required=2",[],joint_static_dynamic_v1,"['breakaway', 'speed-hold', 'inertia', 'dynamic-mit']"
3,motor_03,3,0,0.5650000000000001,0.022484562605386758,0.1744408343017105,0.017914847318434932,0.22664491186346583,0.011712957855361722,0.11898461427033322,0.006001927889498624,0.056848309168420035,0.0015473562464147306,0.17246984977086877,0.35551750990367054,0.05167977414122483,False,retained_previous_model,"kept previous model; accepted_round_count=0, required=2",[],joint_static_dynamic_v1,"['breakaway', 'speed-hold', 'inertia', 'dynamic-mit']"
4,motor_04,3,0,0.535,0.10402991022884822,0.16636972872636677,0.007330233048647073,0.22569871322739837,0.013023005565166314,0.13436867494042404,0.004854351334431242,0.05539262872347736,0.004873543269120846,0.1664741837383257,0.3823562688454174,0.19444843033429574,False,retained_previous_model,"kept previous model; accepted_round_count=0, required=2",[],joint_static_dynamic_v1,"['breakaway', 'speed-hold', 'inertia', 'dynamic-mit']"
5,motor_05,3,3,0.19,0.026562295750848713,0.02564131483125358,0.008221709535566607,0.09536110182281743,0.006940873269906025,0.0020998492869872404,0.0008980980885556025,0.0009932689862921947,0.0013038708911387515,0.04070175174484928,0.08906840402109117,1.3127067381878221,True,published,published 3/3 accepted rounds,"[1, 2, 3]",joint_static_dynamic_v1,"['breakaway', 'speed-hold', 'inertia', 'dynamic-mit']"
6,motor_06,3,3,0.18000000000000002,0.010801234497346438,0.027004469174967932,0.012380609203202905,0.11129776127475531,0.008215192987786031,0.0034052658139447564,0.0014243459898644225,0.0014314197508194177,0.0003300039622873765,0.044753694536107315,0.09450779278671588,0.4182774760289329,True,published,published 3/3 accepted rounds,"[1, 2, 3]",joint_static_dynamic_v1,"['breakaway', 'speed-hold', 'inertia', 'dynamic-mit']"
7,motor_07,3,3,0.2,0.010801234497346443,0.028690963880378423,0.004052099129165338,0.11138795240602989,0.004910418625103701,0.0007078286894687882,0.0005944629699894632,0.0009803158398973585,0.000690775213836363,0.052600847409282524,0.1006303945564264,0.8398401743726949,True,published,published 3/3 accepted rounds,"[1, 2, 3]",joint_static_dynamic_v1,"['breakaway', 'speed-hold', 'inertia', 'dynamic-mit']"
