motor_id,motor_name,round_count,tau_static,tau_static_std,tau_bias,tau_bias_std,tau_c,tau_c_std,viscous,viscous_std,inertia,inertia_std,friction_validation_rmse,inertia_validation_rmse,repeat_consistency_score,recommended_for_compensation
1,motor_01,3,0.7933333333333333,0.009428090415820642,-0.006666666666666672,0.009428090415820642,0.31007531088199214,0.15655141257098262,0.08667103898616546,0.04040050343635944,0.02270504390436372,0.002204324861754159,0.2049417566794555,0.21955797850614486,0.5048819015150892,False
2,motor_02,3,0.6816666666666666,0.09800793618659437,-0.014999999999999994,0.07626707459098367,0.3042496830821903,0.01572035835389295,0.04530062213530083,0.005670922714228611,0.01677334756908087,0.0022802033932570187,0.14397299963015095,0.18041922768093718,0.14377692350111643,False
3,motor_03,3,0.54,0.029439202887759516,0.030000000000000016,0.043204937989385725,0.4520196490113619,0.0014157740595391673,0.10883234878551144,0.00532647547769393,0.05662147776874583,0.0009036876601237182,0.4615319664734083,0.1233396505211572,0.05451704238473984,False
4,motor_04,3,0.5733333333333334,0.024944382578492925,0.02,0.016329931618554536,0.49078089776306805,0.03298588821129142,0.10920316160770864,0.012216373126238259,0.044406006045053216,0.0008542601526102339,0.4750689404607473,0.17088632285186167,0.11186830991325351,False
5,motor_05,3,0.18833333333333332,0.008498365855987983,-0.028333333333333332,0.028963578661637953,0.10128285950715682,0.0028920573291869984,0.005863166194311083,0.0009356141760582978,0.0010674689515128232,0.0005749461090521552,0.01917998404576478,0.026624914177051307,0.5386068683659025,False
6,motor_06,3,0.18666666666666668,0.0262466929133727,0.003333333333333336,0.038586123009300755,0.11891560227927574,0.0024709632092778165,0.007254696212303874,0.0007975190851529728,0.0017082861799421407,5.365378747507003e-05,0.019938992931937568,0.032960701897059734,0.1406072834644966,True
7,motor_07,3,0.2366666666666667,0.03274480450731417,0.03666666666666667,0.020949675149960892,0.12695986362063627,0.005062380192328638,0.004800799072663426,0.0012189181791240327,0.001955144723483461,0.0007640662429676843,0.02322525614494524,0.03979772992185528,0.3907977930177749,False
