motor_id,motor_name,status,identified,synced_before_capture,sequence_error_count,sequence_error_ratio,target_frame_count,target_frame_ratio,planned_duration_s,actual_capture_duration_s,round_total_duration_s,validation_mode,validation_reason,recommended_for_runtime,conclusion_level,conclusion_text,train_platforms,valid_platforms,saturation_ratio,tracking_error_ratio,high_speed_platform_count,high_speed_valid_rmse,coulomb,viscous,offset,velocity_scale,validation_rmse,validation_r2,sample_count,valid_sample_ratio,coulomb_std,viscous_std,offset_std,round_count
1,motor_01,sync_not_acquired,False,False,0,0.0,0,0.0,64.7,0.0,2.018956594984047,train_only,sync_not_acquired,False,reject,辨识失败: sync_not_acquired,,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,0,0.0,nan,nan,nan,1
2,motor_02,sync_not_acquired,False,False,0,0.0,0,0.0,64.7,0.0,2.019882035907358,train_only,sync_not_acquired,False,reject,辨识失败: sync_not_acquired,,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,0,0.0,nan,nan,nan,1
3,motor_03,sync_not_acquired,False,False,0,0.0,0,0.0,64.7,0.0,2.0190559150651097,train_only,sync_not_acquired,False,reject,辨识失败: sync_not_acquired,,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,0,0.0,nan,nan,nan,1
4,motor_04,sync_not_acquired,False,False,0,0.0,0,0.0,64.7,0.0,2.0126957760658115,train_only,sync_not_acquired,False,reject,辨识失败: sync_not_acquired,,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,0,0.0,nan,nan,nan,1
5,motor_05,sync_not_acquired,False,False,0,0.0,0,0.0,64.7,0.0,2.0152810260187835,train_only,sync_not_acquired,False,reject,辨识失败: sync_not_acquired,,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,0,0.0,nan,nan,nan,1
6,motor_06,sync_not_acquired,False,False,0,0.0,0,0.0,64.7,0.0,0.5178331249626353,train_only,sync_not_acquired,False,reject,辨识失败: sync_not_acquired,,,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,0,0.0,nan,nan,nan,1
7,motor_07,,False,False,0,nan,0,nan,nan,nan,nan,,,False,not_run,-,,,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0
